run_timestamp_utc,random_state,cv_folds,model,round,MAE_rank,CV_MAE,CV_MAE_std,CV_RMSE,CV_R2,parameters
2026-07-21T08:41:11+00:00,42,5,Lasso,1,13,0.16763301099014713,0.0024583648179459,0.21891525800504058,0.33111054396921524,"{""alpha"": 0.0013292918943162175}"
2026-07-21T08:41:11+00:00,42,5,Lasso,2,23,0.18879655061693737,0.002456175513762538,0.24273040890626857,0.17781493726962164,"{""alpha"": 0.07114476009343425}"
2026-07-21T08:41:11+00:00,42,5,Lasso,3,20,0.17117141459922433,0.0027640197104590197,0.22313569052405519,0.30520611936712866,"{""alpha"": 0.015702970884055395}"
2026-07-21T08:41:11+00:00,42,5,Lasso,4,16,0.16859093961126506,0.0025367855634839667,0.22006850663061522,0.3241047760185317,"{""alpha"": 0.006251373574521752}"
2026-07-21T08:41:11+00:00,42,5,Lasso,5,3,0.1673926045678331,0.0024361500998007143,0.21845470486941038,0.33391943972752747,"{""alpha"": 0.00029380279387035364}"
2026-07-21T08:41:11+00:00,42,5,Lasso,6,4,0.16739260638866083,0.0024361502022594464,0.21845469962801828,0.3339194715970725,"{""alpha"": 0.00029375384576328325}"
2026-07-21T08:41:11+00:00,42,5,Lasso,7,7,0.16740213771415874,0.0024273367823627297,0.21844343570462227,0.3339872445034878,"{""alpha"": 0.00014936568554617635}"
2026-07-21T08:41:11+00:00,42,5,Lasso,8,22,0.18036614703321416,0.002932089346157623,0.2337647071840839,0.23747546501927097,"{""alpha"": 0.0396760507705299}"
2026-07-21T08:41:11+00:00,42,5,Lasso,9,17,0.16861692871964826,0.002540180170957211,0.22009689628269685,0.32393172121546365,"{""alpha"": 0.006358358856676255}"
2026-07-21T08:41:11+00:00,42,5,Lasso,10,19,0.17052241069359858,0.002714759002826578,0.22236762244165162,0.30996605974224034,"{""alpha"": 0.013311216080736894}"
2026-07-21T08:41:11+00:00,42,5,Lasso,11,8,0.1674072094664542,0.0024237567221597235,0.21844407526487236,0.33398296500302393,"{""alpha"": 0.00011527987128232407}"
2026-07-21T08:41:11+00:00,42,5,Lasso,12,24,0.19183430963823148,0.00235131481197992,0.24607275132564724,0.15500285521001295,"{""alpha"": 0.0812324508558869}"
2026-07-21T08:41:11+00:00,42,5,Lasso,13,21,0.17700895317168314,0.0028965039645649747,0.2299292396434866,0.26229277117707495,"{""alpha"": 0.03142880890840111}"
2026-07-21T08:41:11+00:00,42,5,Lasso,14,5,0.16739291701127929,0.002436122955127543,0.21848042194640338,0.33376289530174735,"{""alpha"": 0.0004335281794951569}"
2026-07-21T08:41:11+00:00,42,5,Lasso,15,2,0.16739117841097229,0.0024358843701892774,0.21846253856602688,0.3338717377584108,"{""alpha"": 0.0003511356313970409}"
2026-07-21T08:41:11+00:00,42,5,Lasso,16,1,0.16739115089140605,0.002435832299005789,0.21846325581351067,0.3338673706191738,"{""alpha"": 0.0003549878832196505}"
2026-07-21T08:41:11+00:00,42,5,Lasso,17,11,0.1674553026609397,0.0024511761638224,0.21861756792264667,0.33292696076809625,"{""alpha"": 0.0008179499475211679}"
2026-07-21T08:41:11+00:00,42,5,Lasso,18,15,0.16809721815642603,0.002456879150953809,0.21953797944790635,0.32732674856628596,"{""alpha"": 0.0037520558551242854}"
2026-07-21T08:41:11+00:00,42,5,Lasso,19,14,0.16791937845692556,0.002458618625008809,0.21931822632522602,0.32865063563260827,"{""alpha"": 0.0019762189340280074}"
2026-07-21T08:41:11+00:00,42,5,Lasso,20,9,0.16743890225872,0.0024503361469680744,0.21858619920919603,0.3331182949197982,"{""alpha"": 0.0007476312062252305}"
2026-07-21T08:41:11+00:00,42,5,Lasso,21,18,0.16874410566332884,0.0025558961373902817,0.2202357484460784,0.32308416982322197,"{""alpha"": 0.006847920095574782}"
2026-07-21T08:41:11+00:00,42,5,Lasso,22,6,0.16739379191397924,0.0024360842378239405,0.2184517202817496,0.33393759438926723,"{""alpha"": 0.00026210878782654407}"
2026-07-21T08:41:11+00:00,42,5,Lasso,23,10,0.1674398263513929,0.0024505759852892616,0.21858822687752374,0.3331059315597635,"{""alpha"": 0.0007523742884534858}"
2026-07-21T08:41:11+00:00,42,5,Lasso,24,12,0.16760237801414127,0.0024556384719608237,0.21886583106639118,0.3314123270527375,"{""alpha"": 0.001256277350380704}"
